"#","Name","Color","Parent","Start","Stop","Icon","D","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]"
"N","SLS","#9c8ac4",,"1992.6","1994.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Slackware","#000","SLS","1993.7.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","S.u.S.E","#4bb679","Slackware","1994.3","1996.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Debian","#bf1238",,"1993.8.16",,,,"1.1 Buzz","1996.06.17",,"1.2 Rex","1996.12.12",,"1.3 Bo","1997.07.02",,"2.0 Hamm","1998.07.24",,"2.1 Slink","1999.03.09",,"2.2 Potato","2000.08.15",,"3.0 Woody","2002.07.19",,"3.1 Sarge","2005.06.06",,"4.0 Etch","2007.04.08",,"5.0 Lenny","2009.02.14",,"6.0 Squeeze","2011.02.06",,"7 Wheezy","2013.05.04",,"8 Jessie","2015.04.25",,"9 Stretch","2017.06.17",,"10 Buster","2019.07.06",,"11 Bullseye","2021.08.14",
"N","Ubuntu","#e95420","Debian","2004.10.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Raspbian","#c61931","Debian","2012.6",,,,"Raspberry Pi OS","2020.05.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Red Hat","#cc0000",,"1994.11.3",,,,"Red Hat Enterprise","2002.3.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Fedora Core","#362e94","Red Hat","2003.11.6",,,,"Fedora","2007.5.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","CentOS","#6f4376","Red Hat","2003.12.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Oracle Enterprise","#f00","Red Hat","2006.10.25",,,,"Oracle Linux","2007.6.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Jurix","#9f9f9f",,"1995.2.8","1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","S.u.S.E Linux","#4bb679","Jurix","1996.5",,,,"SuSE Linux","1998.12.21",,"SUSE Linux","2003.10.15",,"openSUSE","2006.12.7","a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","SUSE Linux Enterprise Server","#7ad4aa","S.u.S.E Linux","2000.10.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Novell Linux Desktop","#7ad4aa","S.u.S.E Linux","2004.11.8",,,,"SUSE Linux Enterprise Desktop","2006.07.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Enoch","#a0a0f0",,"1999.12",,,,"Gentoo","2002.3.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Arch Linux","#0771a6",,"2002.3.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Manjaro","#3fbb3f","Arch Linux","2011.7.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","SystemRescueCD ","#508fee","Arch Linux","2019.02.02",,,,"SystemRescue","2020.10.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D","Debian","#bf1238","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D","Slackware","#000000","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D","Red Hat","#cc0000","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D","S.u.S.E Linux","#4bb679","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D","Enoch","#a0a0f0","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D","Arch Linux","#0771a6","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#","File Path","x Position","y Position",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#SVG","images/tux.svg","585","90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#SVG","images/gnu.svg","635","190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#SVG","images/info-connectors.svg","120","270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
